csv_post_title,csv_post_post,csv_post_type,csv_post_excerpt,csv_ctax_project_category,csv_post_tags,csv_post_date,csv_navi_zoom,csv_navi_latitude,csv_navi_longitude
Cazon - Tres Cruces Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-20.875494,-65.695496
Cerdas - Tazna Rosario Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-20.738134,-66.478271
Cerdas Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-20.797201,-66.468658
Cerro Colorado - Rancho Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-20.578796,-65.419975
Chacoma Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-19.694313,-68.529968
Chalcha K Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-21.094751,-67.511673
Challacota Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-19.317623,-67.869072
Challhuani Pojo Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.815214,-64.866028
Chapisirca Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.148664,-66.145935
Chapisirca Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.147352,-66.150742
Chapisirca Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.14768,-66.140785
Charahuayto Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.006887,-66.811295
Charahuayto Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.011812,-66.802711
Charamoco Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-17.600012,-66.249619
Chilijchi Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.650564,-65.32196
Chilijchi Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-17.643696,-65.322304
Chilijchi Community Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.647621,-65.316467
Chimore Runway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-16.580919,-64.917526
Chiro K'asa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Water,,,15,-18.198044,-66.236572
Choquechampi Reservoir,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Road,,,15,-17.329664,-66.030579
Chucupial - Salado K'asa Road,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,School,,,15,-18.237177,-64.5504
Chullpa K'asa Clinic,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Community,,,15,-17.13423,-66.533203
Chullpa K'asa Education Projects,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur ultricies, dui sed pharetra luctus, arcu sapien condimentum risus, in sodales felis quam et velit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse dignissim viverra pellentesque. Maecenas ut metus nisi. Vivamus feugiat faucibus mi volutpat pulvinar. Sed auctor interdum varius. Etiam et metus lacus. In nec hendrerit nulla. Integer quis libero nisl. Proin tempor nisl nec eros molestie quis pretium enim ultrices. Cras vitae volutpat est. Aenean et risus leo. Donec molestie mattis augue, sit amet vehicula erat pellentesque sed.",project,,Health,,,15,-17.33753,-66.676025
